farm_name,lat,lon
NMHm,34.86515,-73.37721
k3Ke,35.53675,-73.3268
3mn3,35.26579,-73.31229
ZtLW,35.49699,-73.28366
ooqQ,35.93208,-73.27433
xS1s,35.11551,-73.23979
SQME,34.57128,-73.21411
WcSn,35.57945,-73.2132
nAjl,35.24044,-73.17434
mjFk,36.45895,-73.10378
3lMh,36.69215,-73.07868
dsgl,35.31822,-73.01067
WwUr,35.03128,-72.92412
GAuc,35.68649,-72.92094
x8F6,34.47345,-72.87806
m78c,36.63146,-72.86837
Q1oa,35.19983,-72.84058
lMjz,35.20653,-72.82486
m5D3,35.04514,-72.79016
ZQ8d,34.56699,-72.77085
SBdW,34.94145,-72.7303
9NJL,36.48894,-72.67433
uMvX,35.79583,-72.65801
Ay3C,36.70758,-72.64177
Uezs,36.47884,-72.60577
2mYF,36.56727,-72.53105
Nzmo,34.2531,-72.52706
Ukfp,36.23707,-72.50411
FLF6,34.53903,-72.49545
kuXa,34.55181,-72.45333
Owv3,34.15304,-72.4318
grfd,34.631,-72.4124
7UWw,35.43779,-72.39907
no5K,34.26569,-72.3819
JmkX,36.66173,-72.33572
yxqU,35.95477,-72.22397
SEKW,34.21119,-72.16598
2DYM,36.92531,-72.13266
puaV,34.03695,-72.11853
DOKy,34.55783,-72.11538
td2V,35.82529,-72.10667
QLBr,35.25507,-72.00321
ITHk,34.85231,-71.98103
l1vP,35.88391,-71.96372
FYx4,35.8165,-71.91385
WTAt,35.37729,-71.70567
NPak,36.8436,-71.69538
PlRN,34.7868,-71.68629
UIS9,35.51197,-71.6315
Jaad,35.4234,-71.62983
cKLz,34.90202,-71.60502
GRNp,34.59768,-71.59378
TC6g,35.21286,-71.5682
dbbM,36.38169,-71.51558
stoR,35.30992,-71.50691
uH8q,34.68467,-71.47871
I62g,36.82617,-71.45832
U6a3,35.2668,-71.45562
cxR7,34.74588,-71.42344
WF3m,35.8625,-71.41975
1s4D,35.46276,-71.39391
DuTY,34.49165,-71.34687
DmAT,34.22993,-71.3392
ZMGH,34.83701,-71.33468
wbWq,36.17827,-71.27875
dsh2,34.90188,-71.24895
tDSr,36.39497,-71.21768
WthQ,34.28413,-71.21293
gDOr,35.16065,-71.2087
CE97,34.9497,-71.07159
Vrjd,36.08426,-71.02735
doPy6,35.69271,-74.49759
DUBvw,33.96709,-74.49683
G18Ka,33.66126,-74.49533
1zSqR,37.34542,-74.4932
HyjAB,36.153,-74.49251
12gtZ,34.79599,-74.48997
PPQ3l,33.74682,-74.48919
0a2bY,34.38622,-74.48727
uE9C9,34.93596,-74.48693
E00FJ,33.58619,-74.4868
waTpI,35.42933,-74.48496
s90uO,37.0645,-74.48439
0dJl7,35.15892,-74.48271
yQkj2,36.51787,-74.48152
iJTs2,37.05274,-74.47887
nHVjy,34.3894,-74.47873
tOUav,35.63085,-74.47862
GQr5B,35.99401,-74.47859
Pz26z,36.40129,-74.47696
RGQgC,36.45353,-74.47653
TGOWA,35.11575,-74.47487
9Ck3C,35.68126,-74.4739
WzUgW,36.85361,-74.47364
rpeCm,36.40963,-74.47199
i3ge8,35.81227,-74.47011
3fSrr,37.42162,-74.46956
JTghy,36.12289,-74.46892
2PtfM,34.06754,-74.46872
ayII5,37.27056,-74.46705
FiL6S,34.54592,-74.46469
ipd8Y,36.37029,-74.46242
0qcNq,37.21484,-74.46098
zTXuX,34.35238,-74.45961
5cM48,34.77811,-74.45696
WsJyo,33.99025,-74.45652
zs7c8,34.16239,-74.4564
o8L39,35.36605,-74.45542
M8Ma6,35.19957,-74.44978
K4PmC,34.97718,-74.44595
he0Te,36.04517,-74.44356
FGfsg,36.30127,-74.44273
ee5qG,37.00813,-74.44244
ZSS3v,35.88937,-74.43907
EiXBa,35.40096,-74.43862
uJi0O,33.76193,-74.43668
Yperx,36.71999,-74.43653
MAJfi,36.88672,-74.43546
b7cTu,33.60759,-74.43487
ClVuT,34.90587,-74.43474
ebXVG,37.05729,-74.4345
lcdHO,35.4359,-74.43292
LhG7W,34.43825,-74.42904
